User_ID   s_time    e_time    cnt       Request_Count     Finish_Time    Time_Diff      Avg_Batch_Size
260       2800      7235      646       57                4103           -3132          11.33
345       3409      7340      661       50                4299           -3041          13.22
383       3581      10194     674       55                5449           -4745          12.25
372       3248      6618      674       55                3976           -2642          12.25
334       3150      8869      700       61                4398           -4471          11.48
196       2755      6370      723       52                3415           -2955          13.90
267       3554      7621      775       69                4762           -2859          11.23
172       3053      7013      792       58                4328           -2685          13.66
423       2980      7699      796       73                4271           -3428          10.90
359       2911      6991      816       61                4208           -2783          13.38
348       3045      11287     820       70                6633           -4654          11.71
240       3365      8491      853       89                4976           -3515          9.58
51        3607      10826     866       81                6049           -4777          10.69
191       2684      7605      876       68                4066           -3539          12.88
344       2869      7404      907       89                4145           -3259          10.19
325       2693      9074      908       95                4704           -4370          9.56
373       2828      7911      915       91                4536           -3375          10.05
271       3130      7750      924       84                4382           -3368          11.00
481       2068      11848     948       84                7497           -4351          11.29
328       2787      7736      968       92                4319           -3417          10.52
309       4321      10686     974       79                5992           -4694          12.33
274       2726      9435      979       77                5080           -4355          12.71
319       4253      11872     980       82                7539           -4333          11.95
20        3032      8270      1010      107               4931           -3339          9.44
290       4333      10095     1018      73                5942           -4153          13.95
367       1982      9882      1023      88                5235           -4647          11.62
220       1816      6956      1028      74                2897           -4059          13.89
354       4995      10634     1050      83                6381           -4253          12.65
131       2364      8707      1068      96                4681           -4026          11.12
427       3986      11433     1081      88                6799           -4634          12.28
217       935       7791      1144      70                2042           -5749          16.34
50        3237      13827     1162      91                10030          -3797          12.77
70        3022      11432     1162      87                6803           -4629          13.36
120       2240      9300      1203      95                4739           -4561          12.66
74        1933      12395     1226      98                8285           -4110          12.51
398       3891      15176     1247      107               11135          -4041          11.65
12        1605      8000      1279      85                2653           -5347          15.05
2         2796      9236      1288      106               5219           -4017          12.15
401       2282      8817      1307      124               5065           -3752          10.54
114       3973      10643     1334      108               6053           -4590          12.35
37        3403      10108     1341      99                5686           -4422          13.55
34        4222      11191     1385      149               6530           -4661          9.30
436       3557      10497     1388      104               6619           -3878          13.35
364       3929      18466     1401      151               15894          -2572          9.28
500       3346      10446     1420      128               5879           -4567          11.09
262       5578      14891     1432      123               10713          -4178          11.64
386       3250      17099     1477      146               13925          -3174          10.12
150       3392      10802     1482      113               6674           -4128          13.12
393       3170      17442     1497      96                15049          -2393          15.59
64        4762      12317     1511      183               8229           -4088          8.26
317       1512      9097      1517      108               4455           -4642          14.05
134       4216      12620     1517      113               8597           -4023          13.42
414       4316      16250     1520      132               12558          -3692          11.52
154       3034      12334     1523      134               8275           -4059          11.37
128       1554      12077     1554      117               7888           -4189          13.28
363       4410      12651     1564      112               8636           -4015          13.96
410       2302      10147     1569      132               5648           -4499          11.89
461       2645      14824     1599      112               10534          -4290          14.28
477       4774      12804     1606      123               8959           -3845          13.06
377       2210      18795     1632      104               16298          -2497          15.69
376       4198      23061     1649      107               22652          -409           15.41
305       2891      12631     1666      141               8784           -3847          11.82
324       4736      15417     1696      120               11452          -3965          14.13
233       427       8947      1704      35                1009           -7938          48.69
381       2541      13930     1707      113               10104          -3826          15.11
106       4755      14921     1725      154               10887          -4034          11.20
408       2782      18159     1726      113               15500          -2659          15.27
429       3787      15484     1735      135               11542          -3942          12.85
371       3376      12101     1745      128               7927           -4174          13.63
170       2713      14834     1747      128               10749          -4085          13.65
145       3416      12336     1784      123               8216           -4120          14.50
160       3658      12767     1796      186               8911           -3856          9.66
242       1198      18291     1804      132               15673          -2618          13.67
184       2552      11950     1805      143               7684           -4266          12.62
291       2898      11938     1808      125               7678           -4260          14.46
138       4436      15402     1817      124               11432          -3970          14.65
475       2010      12189     1845      125               8011           -4178          14.76
161       3042      12282     1848      138               8123           -4159          13.39
302       3725      15916     1853      197               12292          -3624          9.41
428       3467      12762     1859      156               8828           -3934          11.92
189       3291      17138     1885      130               13997          -3141          14.50
415       2700      12145     1889      142               7953           -4192          13.30
268       2653      17224     1905      163               14141          -3083          11.69
322       2737      12267     1906      140               8158           -4109          13.61
347       1954      11639     1937      161               7273           -4366          12.03
332       4079      17503     1969      287               13608          -3895          6.86
369       1997      11927     1986      155               7617           -4310          12.81
135       2939      16525     2014      183               12914          -3611          11.01
405       2172      12397     2045      167               8516           -3881          12.25
261       1341      13160     2046      143               9246           -3914          14.31
438       2770      13005     2047      149               9182           -3823          13.74
56        1517      12307     2091      142               8146           -4161          14.73
229       2811      16786     2098      144               13346          -3440          14.57
43        2623      13118     2099      157               9383           -3735          13.37
406       893       11433     2108      151               6820           -4613          13.96
300       4431      15096     2133      177               11028          -4068          12.05
232       3133      13913     2156      155               10384          -3529          13.91
141       2251      13056     2161      166               9292           -3764          13.02
40        2717      24110     2180      181               21179          -2931          12.04
391       4250      15150     2180      144               11058          -4092          15.14
434       2109      13029     2184      147               10036          -2993          14.86
7         2003      17919     2196      159               15190          -2729          13.81
280       1298      15815     2234      162               11996          -3819          13.79
407       3247      21477     2254      152               20613          -864           14.83
413       2539      20820     2264      160               19678          -1142          14.15
353       3187      14547     2272      257               10019          -4528          8.84
390       2041      17976     2286      152               15259          -2717          15.04
130       4168      20585     2294      178               19455          -1130          12.89
82        3073      14628     2311      224               10412          -4216          10.32
45        2401      17056     2344      171               13843          -3213          13.71
312       1861      18699     2348      163               16171          -2528          14.40
396       2234      21226     2357      154               20278          -948           15.31
439       3039      17551     2369      174               14636          -2915          13.61
78        3500      21004     2374      157               19951          -1053          15.12
30        1658      18373     2380      165               15780          -2593          14.42
257       3118      21268     2384      300               20312          -956           7.95
49        4145      19963     2390      158               18075          -1888          15.13
337       2398      14388     2398      169               10878          -3510          14.19
140       2451      18695     2399      154               16168          -2527          15.58
110       2664      19953     2420      157               18069          -1884          15.41
179       2488      16884     2426      159               13540          -3344          15.26
441       3950      30259     2437      285               24957          -5302          8.55
46        2395      22017     2437      291               12694          -9323          8.37
392       2567      15177     2450      169               11108          -4069          14.50
320       3318      23939     2454      162               23703          -236           15.15
95        2428      21115     2467      165               20109          -1006          14.95
360       3696      17765     2470      159               14944          -2821          15.53
488       4605      21702     2472      127               21676          -26            19.46
343       3765      16150     2477      175               12488          -3662          14.15
227       2778      19882     2503      160               17944          -1938          15.64
265       1013      13578     2513      173               9864           -3714          14.53
298       5078      23270     2521      157               22895          -375           16.06
251       2984      21000     2527      174               19944          -1056          14.52
402       2932      28181     2555      163               27728          -453           15.67
126       2177      17215     2579      299               13937          -3278          8.63
143       3406      20356     2599      174               18771          -1585          14.94
246       1312      14337     2605      223               10005          -4332          11.68
350       2139      24359     2613      164               24177          -182           15.93
445       2383      20458     2627      180               18965          -1493          14.59
417       4078      17248     2634      186               14184          -3064          14.16
204       1952      20885     2692      208               19810          -1075          12.94
123       858       24441     2698      234               21895          -2546          11.53
422       4737      22688     2702      170               22158          -530           15.89
27        1740      19514     2705      300               17309          -2205          9.02
303       4190      24417     2711      167               24256          -161           16.23
418       3045      17695     2711      300               14848          -2847          9.04
58        2941      20187     2742      265               15272          -4915          10.35
491       1253      22996     2766      269               20503          -2493          10.28
451       2242      23069     2813      250               22595          -474           11.25
118       3666      21883     2821      177               21104          -779           15.94
270       1746      18864     2827      183               16390          -2474          15.45
162       3029      17184     2831      300               14072          -3112          9.44
90        918       15428     2841      152               11465          -3963          18.69
269       3802      19507     2853      180               17303          -2204          15.85
460       2529      16804     2855      189               13390          -3414          15.11
222       3667      17967     2860      190               15238          -2729          15.05
98        2431      22804     2870      180               22319          -485           15.94
378       1125      18486     2880      145               16699          -1787          19.86
223       1908      16488     2916      192               34413          17925          15.19
473       4197      21703     2919      187               20882          -821           15.61
192       3302      17952     2930      300               35288          17336          9.77
476       3090      21839     2938      189               21048          -791           15.54
247       3154      18039     2977      205               35705          17666          14.52
352       2920      17820     2980      203               15033          -2787          14.68
73        3460      22470     2984      188               21866          -604           15.87
416       1505      22506     2989      194               21908          -598           15.41
35        5192      20182     2998      252               18423          -1759          11.90
218       1710      16710     3000      202               13232          -3478          14.85
102       4313      27907     3005      105               27891          -16            28.62
493       2288      26185     3033      300               21472          -4713          10.11
225       1479      28682     3047      178               28463          -219           17.12
327       4190      25068     3052      185               25067          -1             16.50
149       2117      35623     3056      300               73944          38321          10.19
139       1705      21904     3074      196               21130          -774           15.68
212       3335      31176     3077      183               29351          -1825          16.81
358       2704      18114     3082      216               35695          17581          14.27
433       1529      26454     3093      178               26450          -4             17.38
72        2545      22763     3096      300               38733          15970          10.32
132       3046      28689     3108      300               22236          -6453          10.36
264       1883      19008     3108      195               16605          -2403          15.94
409       3360      18950     3118      282               14098          -4852          11.06
431       2893      22370     3119      300               19724          -2646          10.40
338       3481      23774     3125      195               23493          -281           16.03
399       3447      22840     3136      196               22372          -468           16.00
1         4634      21055     3142      207               20023          -1032          15.18
115       2731      18476     3149      300               35065          16589          10.50
443       5625      21495     3174      200               20623          -872           15.87
171       1529      17399     3174      216               14415          -2984          14.69
6         3426      28486     3179      204               28415          -71            15.58
419       2721      22560     3224      276               18952          -3608          11.68
453       4308      20458     3230      220               18978          -1480          14.68
151       3008      36410     3231      232               30445          -5965          13.93
440       3943      22708     3232      300               36689          13981          10.77
208       3453      34560     3249      168               30277          -4283          19.34
330       2459      18754     3259      206               16244          -2510          15.82
194       4266      20586     3264      216               19212          -1374          15.11
321       2216      22751     3270      300               38400          15649          10.90
485       2762      19122     3272      206               16773          -2349          15.88
458       1185      17575     3278      211               14675          -2900          15.54
65        3975      20380     3281      300               36196          15816          10.94
382       2300      18730     3286      246               35882          17152          13.36
136       3851      26131     3312      174               26124          -7             19.03
168       1858      21056     3353      233               20033          -1023          14.39
16        3131      33977     3368      238               70606          36629          14.15
380       2364      19559     3376      300               36666          17107          11.25
159       3081      26857     3380      179               26849          -8             18.88
221       3855      23638     3401      300               39113          15475          11.34
465       2257      38213     3404      220               28931          -9282          15.47
142       2158      19581     3477      288               36212          16631          12.07
355       2170      21446     3479      205               21434          -12            16.97
375       2425      24954     3480      300               39696          14742          11.60
256       3652      21122     3494      222               20118          -1004          15.74
66        5448      32796     3495      291               67482          34686          12.01
124       3484      25054     3500      300               21065          -3989          11.67
75        3223      21838     3519      297               38235          16397          11.85
54        1485      19100     3523      285               35175          16075          12.36
201       3620      26754     3533      197               26697          -57            17.93
462       3580      31359     3535      238               28577          -2782          14.85
231       3068      20753     3537      297               15533          -5220          11.91
186       3061      20921     3572      300               35826          14905          11.91
357       4643      31149     3572      300               59357          28208          11.91
8         2740      20605     3573      300               36600          15995          11.91
384       3509      31543     3578      195               30743          -800           18.35
209       4411      30281     3579      267               26030          -4251          13.40
487       4727      35535     3592      300               76019          40484          11.97
336       4019      40427     3600      300               82506          42079          12.00
62        3567      24069     3615      226               23829          -240           16.00
173       3842      33510     3628      287               70578          37068          12.64
200       3467      26415     3630      300               45363          18948          12.10
89        3987      22167     3636      300               37869          15702          12.12
38        4520      26730     3646      289               24826          -1904          12.62
456       1799      20215     3657      300               34943          14728          12.19
93        702       24188     3658      177               23976          -212           20.67
47        3132      23864     3676      300               23482          -382           12.25
52        2358      20778     3684      300               37818          17040          12.28
311       2271      35573     3685      237               28589          -6984          15.55
39        1892      20522     3726      300               37179          16657          12.42
279       4275      31096     3728      296               58541          27445          12.59
14        3377      32624     3738      300               65914          33290          12.46
287       5230      30261     3759      300               57662          27401          12.53
295       2598      29286     3766      300               55752          26466          12.55
289       3222      22147     3785      300               37517          15370          12.62
266       2870      30398     3786      300               55919          25521          12.62
111       2497      31209     3791      291               59239          28030          13.03
99        4337      34718     3804      292               75363          40645          13.03
497       1730      31866     3826      288               62694          30828          13.28
19        4047      23317     3854      135               23307          -10            28.55
13        3224      22604     3876      300               37770          15166          12.92
211       4388      28284     3880      300               53127          24843          12.93
92        4080      34677     3880      300               73323          38646          12.93
152       3055      22465     3882      300               38177          15712          12.94
219       2575      22065     3898      249               21331          -734           15.65
59        1179      29352     3900      189               29302          -50            20.63
281       4037      28809     3913      300               23057          -5752          13.04
273       2961      37052     3919      295               78724          41672          13.28
412       2396      27065     3933      223               27064          -1             17.64
339       3393      33285     3949      300               67488          34203          13.16
21        4387      30176     3963      187               29598          -578           21.19
455       3388      33704     3984      203               29972          -3732          19.63
91        2789      25705     3985      284               45305          19600          14.03
137       1184      25877     4025      299               45740          19863          13.46
36        3330      34926     4042      288               74950          40024          14.03
474       4185      27397     4046      300               48734          21337          13.49
210       3958      37429     4047      300               24062          -13367         13.49
55        1688      27282     4049      300               50168          22886          13.50
41        2542      26146     4050      227               26125          -21            17.84
86        2491      42365     4065      300               85199          42834          13.55
351       2751      28737     4078      300               54713          25976          13.59
447       3770      26810     4084      300               48597          21787          13.61
468       2634      36375     4098      300               79142          42767          13.66
80        3838      24343     4101      257               24158          -185           15.96
94        1324      28340     4104      300               50714          22374          13.68
307       3862      28257     4121      280               25476          -2781          14.72
446       2361      22966     4121      300               38914          15948          13.74
430       2507      46818     4136      294               89939          43121          14.07
169       4439      35937     4143      300               77058          41121          13.81
395       3949      24874     4185      261               24849          -25            16.03
492       2110      23145     4207      300               38532          15387          14.02
421       4229      25294     4208      300               40944          15650          14.03
206       1487      22572     4217      300               37945          15373          14.06
494       3892      24982     4218      117               24980          -2             36.05
31        2199      27650     4233      300               51298          23648          14.11
400       4129      25304     4235      300               40833          15529          14.12
105       1089      27340     4237      300               49357          22017          14.12
4         2662      31714     4245      288               24355          -7359          14.74
234       4526      25756     4246      94                25755          -1             45.17
349       4125      25360     4247      300               42989          17629          14.16
85        3940      25180     4248      300               41230          16050          14.16
224       1312      41136     4249      300               81213          40077          14.16
470       2276      23802     4263      300               39374          15572          14.21
188       1388      23881     4290      300               39692          15811          14.30
435       3358      24818     4292      300               39955          15137          14.31
276       3949      25464     4303      246               25459          -5             17.49
166       3054      35768     4306      300               76445          40677          14.35
116       2593      27626     4333      247               26239          -1387          17.54
463       2919      40987     4339      178               30785          -10202         24.38
250       3642      25352     4342      300               43039          17687          14.47
190       2399      24114     4343      300               39507          15393          14.48
176       3623      25543     4384      300               42061          16518          14.61
272       2815      34480     4392      296               74113          39633          14.84
5         2223      33096     4396      300               69031          35935          14.65
397       3924      29823     4398      300               57322          27499          14.66
96        2705      29314     4415      300               54002          24688          14.72
258       2815      39542     4423      300               82073          42531          14.74
243       1661      30526     4424      300               22406          -8120          14.75
374       2624      54391     4426      200               91834          37443          22.13
63        1496      38942     4444      225               30232          -8710          19.75
79        3298      31319     4453      300               61142          29823          14.84
100       4448      40505     4474      300               82918          42413          14.91
87        2274      24659     4477      280               24565          -94            15.99
292       1959      38854     4477      300               79017          40163          14.92
310       3227      32482     4486      300               62658          30176          14.95
125       4114      32529     4487      299               24160          -8369          15.01
185       3382      34214     4493      291               72270          38056          15.44
103       2548      32459     4498      258               30401          -2058          17.43
254       2771      25266     4499      300               42350          17084          15.00
326       3079      41815     4503      300               83948          42133          15.01
88        3123      39655     4505      188               30889          -8766          23.96
283       2818      25493     4535      300               44284          18791          15.12
29        3404      26209     4561      300               45197          18988          15.20
282       4974      31291     4578      300               60463          29172          15.26
175       4125      27185     4612      300               47597          20412          15.37
288       2751      37888     4616      278               27657          -10231         16.60
293       2698      27964     4637      300               50569          22605          15.46
163       1801      25066     4653      300               40359          15293          15.51
404       2737      52256     4668      277               92162          39906          16.85
236       2457      25802     4669      300               44331          18529          15.56
340       3066      49286     4674      300               90123          40837          15.58
3         3100      26600     4700      300               45538          18938          15.67
113       1653      31985     4709      300               63682          31697          15.70
341       2981      26531     4710      300               46073          19542          15.70
197       2085      37714     4714      300               79165          41451          15.71
301       2636      26236     4720      300               45950          19714          15.73
84        4550      38772     4738      300               82159          43387          15.79
346       4046      35912     4752      300               76768          40856          15.84
165       3082      29708     4765      300               56377          26669          15.88
285       3099      26979     4776      300               49302          22323          15.92
17        3765      27645     4776      300               49330          21685          15.92
57        3854      51013     4807      270               92051          41038          17.80
424       2231      26346     4823      300               44366          18020          16.08
275       1633      26523     4838      113               26519          -4             42.81
420       1293      25508     4843      300               42569          17061          16.14
484       2899      27169     4854      300               47302          20133          16.18
83        2781      34548     4855      300               74117          39569          16.18
252       2892      27182     4858      300               45868          18686          16.19
245       2028      47945     4911      300               89487          41542          16.37
482       2633      27223     4918      300               47836          20613          16.39
164       3115      27750     4927      300               48997          21247          16.42
48        3904      28559     4931      300               52948          24389          16.44
385       3357      28112     4951      300               51564          23452          16.50
259       2207      30355     4982      300               56453          26098          16.61
335       3071      30617     5006      300               57804          27187          16.69
42        4637      32073     5022      300               63824          31751          16.74
342       2595      27770     5035      300               49377          21607          16.78
119       1608      37165     5054      300               77793          40628          16.85
442       3503      38883     5055      300               79687          40804          16.85
183       2792      29383     5081      300               53896          24513          16.94
366       3377      36466     5092      300               78305          41839          16.97
214       2573      28118     5109      300               52633          24515          17.03
9         2812      34241     5115      300               70065          35824          17.05
489       1239      26825     5116      300               48071          21246          17.05
107       1954      42395     5128      300               85502          43107          17.09
277       5555      31746     5128      300               62897          31151          17.09
81        4375      30566     5140      300               57730          27164          17.13
147       3719      38404     5150      300               80227          41823          17.17
213       2968      28768     5160      300               53572          24804          17.20
26        3266      36988     5163      300               74582          37594          17.21
316       3344      29219     5175      300               55169          25950          17.25
356       2226      28236     5202      300               50255          22019          17.34
101       2070      49628     5234      300               89732          40104          17.45
32        1704      28064     5255      300               51935          23871          17.52
76        3136      29586     5290      300               55123          25537          17.63
235       2994      29454     5292      300               55369          25915          17.64
181       2974      36993     5308      238               30185          -6808          22.30
202       4660      33704     5358      207               31296          -2408          25.88
198       4563      53995     5391      300               90705          36710          17.97
403       3891      31171     5456      300               57469          26298          18.19
10        3499      40473     5494      237               30393          -10080         23.18
411       2769      30409     5528      300               58522          28113          18.43
467       3061      36221     5539      300               78809          42588          18.46
425       2678      30383     5541      300               56754          26371          18.47
241       2485      31863     5573      300               62800          30937          18.58
237       2706      38029     5602      300               79987          41958          18.67
490       3364      53754     5610      255               91452          37698          22.00
67        3713      31913     5640      300               59364          27451          18.80
368       3200      35717     5672      300               75248          39531          18.91
205       3334      34549     5675      300               74111          39562          18.92
329       3540      32528     5710      300               66317          33789          19.03
129       2609      31359     5750      300               62330          30971          19.17
182       3697      32592     5779      300               65261          32669          19.26
472       2926      34859     5807      300               74648          39789          19.36
263       3453      40175     5812      300               82181          42006          19.37
69        4237      47870     5816      300               89424          41554          19.39
133       4885      34100     5843      300               71111          37011          19.48
449       1939      55189     5922      277               93272          38083          21.38
228       3052      48906     5928      300               86449          37543          19.76
304       1186      46464     5939      300               88336          41872          19.80
314       3281      33156     5975      300               68355          35199          19.92
286       2209      32189     5996      300               65467          33278          19.99
370       2376      54007     6000      176               30963          -23044         34.09
158       4526      35724     6000      300               76162          40438          20.00
23        2640      32640     6000      300               64378          31738          20.00
249       1213      31213     6000      300               59345          28132          20.00
253       4081      38752     6000      300               81402          42650          20.00
108       3308      46135     6000      260               30311          -15824         23.08
117       2161      47529     6000      300               88692          41163          20.00
28        2686      32686     6000      300               66088          33402          20.00
313       2039      35511     6000      300               75159          39648          20.00
498       2504      32504     6000      300               64986          32482          20.00
61        622       43935     6000      300               86034          42099          20.00
174       2451      35377     6000      300               75901          40524          20.00
297       4163      34163     6000      249               30612          -3551          24.10
284       2509      46654     6000      300               89834          43180          20.00
448       3338      43989     6000      300               85724          41735          20.00
450       2608      47229     6000      300               89353          42124          20.00
452       2114      32114     6000      300               64336          32222          20.00
68        3334      33334     6000      300               68176          34842          20.00
454       2594      32594     6000      300               64822          32228          20.00
239       1477      42619     6000      300               85698          43079          20.00
457       2042      46600     6000      300               87474          40874          20.00
459       3523      41230     6000      300               84045          42815          20.00
437       3405      57429     6000      232               94030          36601          25.86
426       2712      43033     6000      300               83405          40372          20.00
33        3012      33012     6000      300               67210          34198          20.00
77        1065      43990     6000      300               86748          42758          20.00
215       2711      32711     6000      300               66734          34023          20.00
469       3443      33443     6000      300               69219          35776          20.00
199       2771      32771     6000      300               66644          33873          20.00
244       3236      53045     6000      300               90696          37651          20.00
22        3537      34070     6000      300               72976          38906          20.00
122       3209      37372     6000      300               80724          43352          20.00
478       3955      33955     6000      300               71095          37140          20.00
